YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1982,Entire Season,N,126.28575000000001,107.35375923253414,13.55725
1983,Entire Season,EN,133.58575,108.99646856045649,14.560375
1984,Entire Season,LA,137.91062499999998,111.70640405697532,15.4055
1985,Entire Season,LA,138.975375,114.50859549758364,15.913875
1986,Entire Season,N,142.7545,108.77240297153504,15.52775
1987,Entire Season,EN,146.707,109.4213295889085,16.052875
1988,Entire Season,EN,139.881125,104.34306272558217,14.595625
1989,Entire Season,LA,131.39625,109.94415746263687,14.44625
1990,Entire Season,N,143.6505,108.81792962781195,15.63175
1991,Entire Season,N,140.53925,109.7140122777089,15.419125000000001
1992,Entire Season,EN,133.3685,112.50970056647559,15.00525
1993,Entire Season,N,142.0665,109.35459802275696,15.535625
1994,Entire Season,N,134.2955,108.76760576489905,14.607
1995,Entire Season,EN,129.44975,103.89166452619646,13.44875
1996,Entire Season,LA,143.214625,106.02967399453792,15.185
1997,Entire Season,N,132.4525,108.43321190615505,14.36225
1998,Entire Season,EN,135.800625,88.82875170861695,12.063
1999,Entire Season,LA,145.704125,105.83348275143206,15.420375
2000,Entire Season,LA,142.818625,110.72873023388931,15.814125
2001,Entire Season,LA,144.65225,108.03582384650082,15.627625
2002,Entire Season,N,147.740375,108.13140957575071,15.975375
2003,Entire Season,EN,136.7855,105.73397765113991,14.462875
2004,Entire Season,N,134.805125,104.39792255672772,14.073375
2005,Entire Season,EN,136.972625,98.91483791012986,13.548625
2006,Entire Season,N,132.28975,102.14699173594326,13.513
2007,Entire Season,N,147.4235,105.08501019172657,15.492
2008,Entire Season,LA,129.81575,106.55775589633768,13.832875
2009,Entire Season,LA,135.444625,104.6959227802506,14.1805
2010,Entire Season,EN,145.87225,105.9942860962246,15.461625
2011,Entire Season,LA,131.72925,106.09545715928694,13.975875
2012,Entire Season,LA,144.151875,108.6154793338623,15.657125
2013,Entire Season,N,138.476125,99.98564734534564,13.845625
2014,Entire Season,N,143.769625,106.85584663658962,15.362625
2015,Entire Season,N,135.416875,105.39860707906602,14.27275
2016,Entire Season,EN,142.240375,91.95086135002104,13.079125
2017,Entire Season,N,143.373375,103.11886708393381,14.7845
2018,Entire Season,N,135.65725,102.58390170816524,13.91625
2019,Entire Season,EN,142.26425,102.24283331898211,14.5455
1963,Entire Season,N,145.110625,122.6228265504335,17.793875
1964,Entire Season,EN,142.44275,120.35186065980895,17.14325
1965,Entire Season,LA,141.3265,122.96526129211432,17.378249999999998
1966,Entire Season,EN,147.11775,118.94978682042105,17.499625
